x,y,z,h,local_x,local_y,local_z
399239.4352629371,6412053.423860101,126.79240350277112,15.76,-57.82,32.730000000000004,-15.1
399243.31806176744,6412058.793289608,126.79240350277112,15.76,-54.2,38.28,-15.1
399270.5300708217,6412043.836904241,126.79240350277112,15.76,-26.3,24.650000000000002,-15.1
399196.21997906716,6412065.787101587,126.78240350277112,15.75,-101.58,43.0,-15.11
399242.9961111342,6412008.870978487,126.78240350277112,15.75,-52.120000000000005,-11.6,-15.11
399255.14327633864,6412065.892641716,126.76240350277112,15.729999999999999,-42.730000000000004,45.94,-15.13
399239.4895963006,6412063.2826606305,126.75240350277112,15.719999999999999,-58.24,42.58,-15.14
399251.4705855482,6412080.476205833,126.75240350277112,15.719999999999999,-47.1,60.33,-15.14
399274.7218449633,6412094.493903061,126.75240350277112,15.719999999999999,-24.55,75.45,-15.14
399153.3104851737,6412093.853813788,126.75240350277112,15.719999999999999,-145.79,68.97,-15.14
399183.22336912795,6411999.235268178,126.74240350277111,15.709999999999999,-111.36,-24.1,-15.15
399279.0683402614,6412095.35580713,126.74240350277111,15.709999999999999,-20.25,76.52,-15.15
399255.9481457209,6412080.941345491,126.72240350277112,15.69,-42.65,61.01,-15.17
399196.65235161263,6412085.989691866,126.69240350277111,15.659999999999998,-102.12,63.2,-15.200000000000001
399271.0866956861,6412073.89492761,126.69240350277111,15.659999999999998,-27.19,54.7,-15.200000000000001
399246.8954779232,6412035.163835666,126.67240350277112,15.639999999999999,-49.49,14.85,-15.22
399263.2189706946,6412077.457539497,126.67240350277112,15.639999999999999,-35.22,57.88,-15.22
399274.0085515013,6412024.597292185,126.67240350277112,15.639999999999999,-21.900000000000002,5.6000000000000005,-15.22
399267.47434142686,6412083.079338135,126.66240350277111,15.629999999999999,-31.240000000000002,63.7,-15.23
399188.26660330966,6412044.705301046,126.64240350277112,15.61,-108.51,21.56,-15.25
399239.3294532203,6412058.294589441,126.64240350277112,15.61,-58.160000000000004,37.59,-15.25
399246.9291618044,6412055.195407381,126.64240350277112,15.61,-50.42,34.86,-15.25
399125.08048894926,6412054.205951135,126.64240350277112,15.61,-172.08,28.01,-15.25
399255.17221779417,6412056.099911637,126.63240350277111,15.6,-42.230000000000004,36.160000000000004,-15.26
399266.62201978225,6412092.821619582,126.63240350277111,15.6,-32.56,73.39,-15.26
399242.75300557155,6412028.975950499,126.61240350277112,15.579999999999998,-53.33,8.47,-15.280000000000001
399263.2650254648,6412082.571244509,126.61240350277112,15.579999999999998,-35.42,62.99,-15.280000000000001
399157.14867242286,6412094.13950355,126.61240350277112,15.579999999999998,-141.97,69.44,-15.280000000000001
399207.24674680195,6412032.818474175,126.60240350277111,15.569999999999999,-88.98,10.6,-15.290000000000001
399259.31175155076,6412071.788938383,126.60240350277111,15.569999999999999,-38.85,52.03,-15.290000000000001
399188.4873564214,6412074.649350004,126.59240350277112,15.559999999999999,-109.73,51.480000000000004,-15.3
399191.86966463295,6412040.316890274,126.59240350277112,15.559999999999999,-104.7,17.35,-15.3
399203.65213965863,6412051.933528441,126.58240350277111,15.549999999999999,-93.49,29.52,-15.31
399223.678698397,6412050.548521183,126.57240350277112,15.54,-73.42,29.1,-15.32
399244.19110143965,6412083.780220229,126.56240350277112,15.53,-54.53,63.28,-15.33
399278.9905646987,6412065.054466385,126.56240350277112,15.53,-18.87,46.25,-15.33
399204.6033674113,6412062.329804975,126.55240350277111,15.52,-93.04,39.95,-15.34
399231.0020395233,6412021.963126752,126.55240350277111,15.52,-64.73,0.9,-15.34
399207.93574037205,6412063.130423766,126.54240350277112,15.51,-89.75,40.910000000000004,-15.35
399247.44542958995,6412074.853331166,126.53240350277112,15.5,-50.85,54.52,-15.36
399199.4852737539,6412036.716362853,126.51240350277112,15.479999999999999,-96.92,14.120000000000001,-15.38
399250.525351495,6412035.489593019,126.51240350277112,15.479999999999999,-45.88,15.35,-15.38
399266.32912711403,6412017.518525266,126.50240350277112,15.469999999999999,-29.23,-1.84,-15.39
399105.83711291954,6412075.386200871,126.49240350277111,15.459999999999999,-192.32,48.24,-15.4
399234.3238062487,6412007.576672504,126.48240350277112,15.45,-60.72,-13.31,-15.41
399200.21574187494,6412056.664318042,126.47240350277112,15.44,-97.15,34.08,-15.42
399254.34965612076,6412005.7612009635,126.46240350277111,15.43,-40.63,-14.16,-15.43
399265.97762146447,6412013.130354373,126.45240350277112,15.42,-29.37,-6.24,-15.44
399199.56487565534,6412046.684073902,126.41240350277111,15.379999999999999,-97.32000000000001,24.080000000000002,-15.48
399226.5628759488,6412021.255859647,126.41240350277111,15.379999999999999,-69.13,-0.02,-15.48
